Grupo,Glucosa
BajaCarbohidratos,90
BajaCarbohidratos,83.6
BajaCarbohidratos,91.5
BajaCarbohidratos,100.2
BajaCarbohidratos,82.7
BajaCarbohidratos,82.7
BajaCarbohidratos,100.8
BajaCarbohidratos,92.7
BajaCarbohidratos,80.3
BajaCarbohidratos,90.4
BajaCarbohidratos,80.4
BajaCarbohidratos,80.3
BajaCarbohidratos,87.4
BajaCarbohidratos,65.9
BajaCarbohidratos,67.8
BajaCarbohidratos,79.4
BajaCarbohidratos,74.9
BajaCarbohidratos,88.1
BajaCarbohidratos,75.9
BajaCarbohidratos,70.9
BajaCarbohidratos,99.7
BajaCarbohidratos,82.7
BajaCarbohidratos,85.7
BajaCarbohidratos,70.8
BajaCarbohidratos,79.6
BajaCarbohidratos,86.1
BajaCarbohidratos,73.5
BajaCarbohidratos,88.8
BajaCarbohidratos,79
BajaCarbohidratos,82.1
Estandar,87.8
Estandar,117.2
Estandar,94.8
Estandar,82.3
Estandar,104.9
Estandar,80.3
Estandar,97.5
Estandar,71.5
Estandar,79.1
Estandar,97.4
Estandar,103.9
Estandar,97.1
Estandar,93.6
Estandar,91.4
Estandar,77.3
Estandar,86.4
Estandar,89.5
Estandar,107.7
Estandar,99.1
Estandar,73.8
Estandar,98.9
Estandar,90.4
Estandar,86.9
Estandar,102.3
Estandar,107.4
Estandar,106.2
Estandar,84.9
Estandar,91.3
Estandar,99
Estandar,106.7
